,PROPERTY STATE,Month,INTEREST RATE,ON,1W,1M,2M,3M,6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,6 Mo,1 Yr,5 Yr,10 Yr,20 Yr,30 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,spread between 20 Yr treasury,Corr with 20 Yr treasury,spread between 30 Yr treasury,Corr with 30 Yr treasury
233,MD,2019-08,3.9,2.096699047619048,2.142752857142857,2.17446619047619,2.1862999999999997,2.1647938095238093,2.0566814285714283,1.9953471428571425,1.9046528571428574,-0.3048040738553222,2.0677272727272733,1.928181818181818,1.772272727272727,1.4868181818181816,1.6263636363636365,1.9131818181818183,2.119090909090909,2.2736363636363635,0.6026249126038672,1.9868181818181816,0.6600371503579934,1.7809090909090908,0.6553274642054591
234,MI,2010-03,6.9,0.20298217391304352,0.22118086956521738,0.23731173913043485,0.25031173913043475,0.2684247826086957,0.41060652173913054,0.8732952173913044,6.026704782608696,0.13791171228030355,0.11652173913043477,0.22565217391304354,0.3956521739130435,2.433043478260869,3.7273913043478255,4.489130434782608,4.644782608695651,3.172608695652175,-0.14994012686560979,2.410869565217392,-0.2190567320653822,2.255217391304349,-0.243129076040193
235,MI,2011-03,5.71,0.2076739130434783,0.23889782608695653,0.2532847826086956,0.2829456521739131,0.30843478260869567,0.4607826086956522,0.7797065217391305,4.93029347826087,0.13791171228030355,0.06478260869565221,0.15652173913043482,0.25913043478260867,2.1134782608695653,3.414347826086956,4.26608695652174,4.5139130434782615,2.295652173913044,-0.14994012686560979,1.4439130434782603,-0.2190567320653822,1.1960869565217385,-0.243129076040193
236,MI,2015-12,6.75,0.2286238095238095,0.289352380952381,0.3523071428571429,0.44092857142857156,0.5332357142857143,0.7638285714285715,1.0841380952380955,5.665861904761904,0.13791171228030355,0.17181818181818184,0.4990909090909091,0.6536363636363638,1.6986363636363635,2.2427272727272736,2.6072727272727274,2.97,4.507272727272726,-0.14994012686560979,4.142727272727273,-0.2190567320653822,3.78,-0.243129076040193
237,MI,2016-12,6.375,0.5606285,0.6315605,0.7119585,0.7883325000000001,0.9753284999999998,1.3063339999999999,1.6692235,4.7057765,0.13791171228030355,0.42333333333333334,0.638095238095238,0.8661904761904763,1.9590476190476194,2.491904761904762,2.835238095238095,3.1133333333333324,3.883095238095238,-0.14994012686560979,3.539761904761905,-0.2190567320653822,3.2616666666666676,-0.243129076040193
238,MN,2010-02,5.73,0.172487,0.20809400000000006,0.22906349999999992,0.23978050000000012,0.25051950000000006,0.38779850000000005,0.8515799999999999,4.87842,-0.571431606031966,0.05736842105263157,0.18105263157894735,0.34578947368421054,2.363684210526315,3.691052631578947,4.481052631578947,4.619473684210526,2.0389473684210535,-0.12382785909292086,1.248947368421053,0.13563693850292347,1.1105263157894747,0.24317775902742966
239,MN,2010-12,5.0600000000000005,0.24122190476190472,0.25412380952380953,0.26178857142857137,0.28196571428571415,0.30272333333333334,0.4583942857142857,0.7839004761904763,4.276099523809524,-0.571431606031966,0.0854166666666667,0.19333333333333338,0.2937499999999999,1.9429166666666664,3.2949999999999995,4.173333333333333,4.415,1.765000000000001,-0.12382785909292086,0.8866666666666676,0.13563693850292347,0.6450000000000005,0.24317775902742966
240,MN,2011-05,5.75,0.130775,0.16787249999999998,0.1978005,0.23078799999999994,0.260713,0.41407550000000004,0.7391499999999999,5.0108500000000005,-0.571431606031966,0.024285714285714285,0.0866666666666667,0.18809523809523812,1.8423809523809527,3.168571428571429,4.011428571428572,4.293333333333333,2.581428571428571,-0.12382785909292086,1.7385714285714284,0.13563693850292347,1.456666666666667,0.24317775902742966
241,MN,2011-09,5.75,0.14525181818181823,0.1884,0.23085045454545455,0.2845913636363636,0.3502268181818181,0.5222018181818182,0.8332045454545454,4.916795454545454,-0.571431606031966,0.005714285714285713,0.04333333333333335,0.10476190476190479,0.9004761904761904,1.9752380952380955,2.8271428571428574,3.182380952380953,3.7747619047619043,-0.12382785909292086,2.9228571428571426,0.13563693850292347,2.567619047619047,0.24317775902742966
242,MN,2011-12,5.5,0.1499335,0.2029985,0.2836085,0.40829250000000006,0.5557375,0.7798775000000001,1.1003555000000003,4.3996445,-0.571431606031966,0.0033333333333333335,0.048571428571428585,0.11523809523809528,0.8914285714285713,1.9780952380952384,2.6676190476190476,2.9823809523809524,3.5219047619047616,-0.12382785909292086,2.8323809523809524,0.13563693850292347,2.5176190476190476,0.24317775902742966
243,MN,2012-01,5.75,0.14564761904761903,0.2014238095238095,0.28289523809523814,0.41424761904761903,0.5659000000000001,0.7969761904761906,1.1145476190476191,4.635452380952381,-0.571431606031966,0.0245,0.06550000000000003,0.11500000000000003,0.835,1.9664999999999995,2.6950000000000003,3.026,3.7835000000000005,-0.12382785909292086,3.0549999999999997,0.13563693850292347,2.724,0.24317775902742966
