,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-3),Corr with student_vol(-3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
10,2012-03,IL,CHICAGO,2012-03,4.94,"(-87.65214300000001, 41.963944)",10876.85,New Construction,0.14720000000000003,0.19132272039277806,0.1893409090909091,0.19250049430318902,0.24185227272727275,0.18556016691935096,0.35079999999999995,0.17588068828787706,0.4732886363636363,0.16335952960057235,0.741275,0.13130629057368817,1.0534477272727274,0.11621435311785235,0.06363636363636366,0.20519185218270258,0.14227272727272727,0.18070027691386084,0.19000000000000003,0.1771979064147998,1.0172727272727273,0.42237535947816135,2.1727272727272724,0.5133591109342925,2.9404545454545454,0.4197429309194511,3.281363636363636,0.37927025168687933,36601383816.48,-0.160196513747253,11508699084.1195,-0.3047616453133817,90.35087768078328,0.11765685367168037,3.2,0.17733802133357246,4.7,0.08755761315865376
11,2012-05,IL,CHICAGO,2012-05,3.535,"(-87.6264, 41.8309)",21818.34,New Construction,0.15161363636363637,0.19132272039277806,0.19053181818181822,0.19250049430318902,0.23893181818181805,0.18556016691935096,0.3457045454545453,0.17588068828787706,0.4665318181818183,0.16335952960057235,0.732990909090909,0.13130629057368817,1.0615068181818177,0.11621435311785235,0.06590909090909093,0.20519185218270258,0.14545454545454548,0.18070027691386084,0.19181818181818186,0.1771979064147998,0.7618181818181818,0.42237535947816135,1.8031818181818189,0.5133591109342925,2.525909090909091,0.4197429309194511,2.930909090909091,0.37927025168687933,37571290060.6541,-0.160196513747253,10728874885.7875,-0.3047616453133817,90.7743282432688,0.11765685367168037,3.2,0.17733802133357246,4.7,0.08755761315865376
12,2012-09,IL,CHICAGO,2012-09,2.69,"(7.4, 1.61667)",122758.99,New Construction,0.15189500000000006,0.19132272039277806,0.183625,0.19250049430318902,0.22133750000000002,0.18556016691935096,0.3079875,0.17588068828787706,0.3856325000000001,0.16335952960057235,0.6716749999999999,0.13130629057368817,0.9997750000000002,0.11621435311785235,0.07526315789473685,0.20519185218270258,0.13736842105263158,0.18070027691386084,0.17578947368421055,0.1771979064147998,0.6689473684210526,0.42237535947816135,1.7231578947368422,0.5133591109342925,2.488421052631579,0.4197429309194511,2.8815789473684212,0.37927025168687933,39268596272.9965,-0.160196513747253,14585937143.4485,-0.3047616453133817,89.6038877472871,0.11765685367168037,3.1,0.17733802133357246,4.4,0.08755761315865376
13,2012-10,IL,CHICAGO,2012-10,2.49,"(-87.635901, 41.780151000000004)",14008.34,New Construction,0.15320434782608702,0.19132272039277806,0.17955217391304346,0.19250049430318902,0.21346521739130433,0.18556016691935096,0.2717391304347827,0.17588068828787706,0.3304891304347827,0.16335952960057235,0.5823021739130435,0.13130629057368817,0.9185760869565219,0.11621435311785235,0.10952380952380951,0.20519185218270258,0.14904761904761904,0.18070027691386084,0.17952380952380956,0.1771979064147998,0.7085714285714285,0.42237535947816135,1.7461904761904758,0.5133591109342925,2.505714285714286,0.4197429309194511,2.90047619047619,0.37927025168687933,39658399389.4891,-0.160196513747253,16111780903.4699,-0.3047616453133817,89.56768058609659,0.11765685367168037,2.8,0.17733802133357246,4.2,0.08755761315865376
14,2012-12,IL,CHICAGO,2012-12,2.825,"(-87.7648, 41.8875)",4753.13,New Construction,0.1631578947368421,0.19132272039277806,0.1875157894736842,0.19250049430318902,0.21092631578947374,0.18556016691935096,0.2552894736842105,0.17588068828787706,0.30947368421052623,0.16335952960057235,0.5145657894736843,0.13130629057368817,0.8483157894736841,0.11621435311785235,0.039500000000000014,0.20519185218270258,0.11950000000000005,0.18070027691386084,0.1585,0.1771979064147998,0.6960000000000001,0.42237535947816135,1.7189999999999999,0.5133591109342925,2.4675000000000002,0.4197429309194511,2.8835,0.37927025168687933,40395555554.9932,-0.160196513747253,11631947675.6117,-0.3047616453133817,89.6061116730853,0.11765685367168037,2.5,0.17733802133357246,4.1,0.08755761315865376
15,2013-02,IL,CHICAGO,2013-02,3.1,"(-87.57014000000001, 41.76927)",21250.44,New Construction,0.15464999999999998,0.19132272039277806,0.17315,0.19250049430318902,0.20129999999999998,0.18556016691935096,0.2455,0.17588068828787706,0.29049499999999995,0.16335952960057235,0.463425,0.13130629057368817,0.761875,0.11621435311785235,0.0768421052631579,0.20519185218270258,0.12421052631578947,0.18070027691386084,0.15736842105263157,0.1771979064147998,0.8463157894736841,0.42237535947816135,1.9842105263157896,0.5133591109342925,2.782631578947368,0.4197429309194511,3.165263157894737,0.37927025168687933,41507587847.7023,-0.160196513747253,10740081615.3953,-0.3047616453133817,90.37816904639429,0.11765685367168037,2.5,0.17733802133357246,3.9,0.08755761315865376
16,2013-06,IL,CHICAGO,2013-06,3.35,"(-87.8597755, 42.086467999999996)",3062.41,New Construction,0.13074,0.19132272039277806,0.15964599999999998,0.19250049430318902,0.19319250000000002,0.18556016691935096,0.23164600000000002,0.17588068828787706,0.27374,0.16335952960057235,0.4139935,0.13130629057368817,0.6839425000000002,0.11621435311785235,0.0345,0.20519185218270258,0.08750000000000002,0.18070027691386084,0.142,0.1771979064147998,1.2035,0.42237535947816135,2.3000000000000003,0.5133591109342925,3.0740000000000003,0.4197429309194511,3.400000000000001,0.37927025168687933,41244159430.5284,-0.160196513747253,9855625468.0504,-0.3047616453133817,88.794109524791,0.11765685367168037,2.6,0.17733802133357246,3.2,0.08755761315865376
17,2013-07,IL,CHICAGO,2013-07,3.59,"(-87.697439, 41.899278)",25499.07,New Construction,0.12117913043478262,0.19132272039277806,0.15611695652173913,0.19250049430318902,0.19111913043478265,0.18556016691935096,0.232388695652174,0.17588068828787706,0.26758260869565215,0.16335952960057235,0.40307869565217386,0.13130629057368817,0.6838491304347826,0.11621435311785235,0.020909090909090912,0.20519185218270258,0.07363636363636367,0.18070027691386084,0.12181818181818184,0.1771979064147998,1.4031818181818183,0.42237535947816135,2.5822727272727275,0.5133591109342925,3.3072727272727276,0.4197429309194511,3.605,0.37927025168687933,41658198449.9001,-0.160196513747253,9123117418.53368,-0.3047616453133817,88.920473853359,0.11765685367168037,2.4,0.17733802133357246,3.1,0.08755761315865376
18,2013-09,IL,CHICAGO,2013-09,4.05,"(-87.62337099999999, 41.853987)",72776.285,New Construction,0.11272380952380952,0.19132272039277806,0.14323238095238094,0.19250049430318902,0.18057476190476196,0.18556016691935096,0.22133904761904755,0.17588068828787706,0.2531785714285715,0.16335952960057235,0.38033809523809525,0.13130629057368817,0.6526857142857143,0.11621435311785235,0.017500000000000005,0.20519185218270258,0.04150000000000001,0.18070027691386084,0.11850000000000002,0.1771979064147998,1.5959999999999999,0.42237535947816135,2.8095,0.5133591109342925,3.526,0.4197429309194511,3.7870000000000004,0.37927025168687933,42151687038.4775,-0.160196513747253,9260696074.4491,-0.3047616453133817,88.29263433660921,0.11765685367168037,2.5,0.17733802133357246,3.1,0.08755761315865376
19,2014-03,IL,CHICAGO,2014-03,5.0,"(-87.608215, 41.815687)",18801.81,New Construction,0.0888,0.19132272039277806,0.1207452380952381,0.19250049430318902,0.15488333333333335,0.18556016691935096,0.19711666666666672,0.17588068828787706,0.23409761904761903,0.16335952960057235,0.33106666666666673,0.13130629057368817,0.5571428571428573,0.11621435311785235,0.051428571428571455,0.20519185218270258,0.07857142857142858,0.18070027691386084,0.1280952380952381,0.1771979064147998,1.6395238095238096,0.42237535947816135,2.7233333333333327,0.5133591109342925,3.3466666666666667,0.4197429309194511,3.6209523809523807,0.37927025168687933,44931729222.7983,-0.160196513747253,9402239044.86975,-0.3047616453133817,88.4263020205016,0.11765685367168037,2.2,0.17733802133357246,2.7,0.08755761315865376
