,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
21,2014-05,MN,MINNEAPOLIS,2014-05,4.1,"(-93.2655, 44.9773)",55454,147086.49,Improvements_Additions for Apartments_Coops,0.08842000000000001,0.20233944984072846,0.1198375,0.2019489619680824,0.15035749999999998,0.20235931852175693,0.1914675,0.20212256979274668,0.22609000000000004,0.19833723574882903,0.3231200000000001,0.16204143452966072,0.537955,0.1389168993628102,0.026666666666666665,0.2163767580655897,0.05190476190476192,0.21103407051646175,0.0966666666666667,0.22081878094689747,1.5928571428571427,0.5677767334403937,2.559047619047619,0.5463436214998171,3.1152380952380954,0.40886067753349453,3.3899999999999997,0.3434406640045871,43938467193.2505,0.06909842355047704,11159124696.1814,0.4980586658817363,82.2508390398281,-0.287841091154725,1.3,-0.14153313002649145,1.3,-0.06212819386454829,-93.2655,44.9773
22,2014-09,MN,MINNEAPOLIS,2014-09,3.875,"(-93.224405, 44.899699)",55417,23648.660000000003,Improvements_Additions for Apartments_Coops,0.09027272727272727,0.20233944984072846,0.12087045454545454,0.2019489619680824,0.15410454545454544,0.20235931852175693,0.19699999999999998,0.20212256979274668,0.23403181818181817,0.19833723574882903,0.32999090909090917,0.16204143452966072,0.5770545454545455,0.1389168993628102,0.01142857142857143,0.2163767580655897,0.04380952380952382,0.21103407051646175,0.10952380952380954,0.22081878094689747,1.7738095238095242,0.5677767334403937,2.5342857142857147,0.5463436214998171,3.0133333333333328,0.40886067753349453,3.26,0.3434406640045871,44591810060.8257,0.06909842355047704,11733364706.6996,0.4980586658817363,80.33849809561521,-0.287841091154725,1.4,-0.14153313002649145,1.2,-0.06212819386454829,-93.224405,44.899699
23,2014-10,MN,MINNEAPOLIS,2014-10,4.75,"(-93.276114, 44.977546000000004)",55403,17156.98,Improvements_Additions for Apartments_Coops,0.09059565217391304,0.20233944984072846,0.11953260869565213,0.2019489619680824,0.15351739130434783,0.20235931852175693,0.1974043478260869,0.20212256979274668,0.2313760869565217,0.19833723574882903,0.3236195652173913,0.16204143452966072,0.5523869565217392,0.1389168993628102,0.020909090909090912,0.2163767580655897,0.05045454545454548,0.21103407051646175,0.10454545454545458,0.22081878094689747,1.5459090909090911,0.5677767334403937,2.304090909090909,0.5463436214998171,2.7731818181818184,0.40886067753349453,3.039999999999999,0.3434406640045871,44940573200.2924,0.06909842355047704,11837215038.8922,0.4980586658817363,82.122236078369,-0.287841091154725,1.5,-0.14153313002649145,1.2,-0.06212819386454829,-93.276114,44.977546000000004
24,2015-02,MN,MINNEAPOLIS,2015-02,3.97,"(-93.267302, 44.971174)",55404,47074.3,Improvements_Additions for Apartments_Coops,0.11784999999999998,0.20233944984072846,0.13764249999999997,0.2019489619680824,0.17207499999999998,0.20235931852175693,0.2121925,0.20212256979274668,0.25842,0.19833723574882903,0.37596500000000005,0.16204143452966072,0.6601375,0.1389168993628102,0.017894736842105265,0.2163767580655897,0.07105263157894741,0.21103407051646175,0.22421052631578947,0.22081878094689747,1.472631578947368,0.5677767334403937,1.9752631578947366,0.5463436214998171,2.3384210526315794,0.40886067753349453,2.566315789473684,0.3434406640045871,47944164595.1044,0.06909842355047704,11517159733.1957,0.4980586658817363,82.75451956383341,-0.287841091154725,1.3,-0.14153313002649145,1.1,-0.06212819386454829,-93.267302,44.971174
25,2015-06,MN,MINNEAPOLIS,2015-06,3.425,"(-93.308746, 45.004215)",55411,25123.405,Improvements_Additions for Apartments_Coops,0.12293636363636364,0.20233944984072846,0.14681590909090908,0.2019489619680824,0.1858840909090909,0.20235931852175693,0.23472954545454539,0.20212256979274668,0.2827113636363637,0.19833723574882903,0.43974545454545466,0.16204143452966072,0.7702659090909093,0.1389168993628102,0.007727272727272728,0.2163767580655897,0.08681818181818185,0.21103407051646175,0.2754545454545455,0.22081878094689747,1.6836363636363636,0.5677767334403937,2.3636363636363638,0.5463436214998171,2.8454545454545452,0.40886067753349453,3.1118181818181814,0.3434406640045871,48668534366.8701,0.06909842355047704,11758109185.709,0.4980586658817363,82.4529898168143,-0.287841091154725,1.5,-0.14153313002649145,1.0,-0.06212819386454829,-93.308746,45.004215
26,2015-10,MN,MINNEAPOLIS,2015-10,3.7,"(-93.30462299999999, 44.948589)",55408,28914.115,Improvements_Additions for Apartments_Coops,0.13160454545454547,0.20233944984072846,0.15531363636363638,0.2019489619680824,0.19451136363636365,0.20235931852175693,0.2514522727272726,0.20212256979274668,0.32135909090909087,0.19833723574882903,0.5284272727272726,0.16204143452966072,0.8378659090909092,0.1389168993628102,0.014285714285714287,0.2163767580655897,0.11380952380952382,0.21103407051646175,0.26333333333333336,0.22081878094689747,1.3857142857142857,0.5677767334403937,2.0699999999999994,0.5463436214998171,2.5028571428571427,0.40886067753349453,2.8880952380952376,0.3434406640045871,48491901272.6637,0.06909842355047704,11240513229.2606,0.4980586658817363,85.06205357591242,-0.287841091154725,1.3,-0.14153313002649145,0.9,-0.06212819386454829,-93.30462299999999,44.948589
27,2015-11,MN,MINNEAPOLIS,2015-11,3.88,"(103.848198, 1.332652)",55414,62191.72,Improvements_Additions for Apartments_Coops,0.13066666666666668,0.20233944984072846,0.1559214285714286,0.2019489619680824,0.20844761904761913,0.20235931852175693,0.286702380952381,0.20212256979274668,0.3709714285714286,0.19833723574882903,0.6063738095238096,0.16204143452966072,0.9343738095238093,0.1389168993628102,0.07105263157894738,0.2163767580655897,0.32789473684210524,0.21103407051646175,0.47684210526315784,0.22081878094689747,1.6710526315789473,0.5677767334403937,2.2631578947368416,0.5463436214998171,2.6863157894736847,0.40886067753349453,3.03,0.3434406640045871,48291644449.3811,0.06909842355047704,11362184412.0981,0.4980586658817363,83.5754036116387,-0.287841091154725,1.5,-0.14153313002649145,0.9,-0.06212819386454829,103.848198,1.332652
28,2015-12,MN,MINNEAPOLIS,2015-12,3.47,"(-93.2137, 44.9097)",55401,9157.85,Improvements_Additions for Apartments_Coops,0.2286238095238095,0.20233944984072846,0.289352380952381,0.2019489619680824,0.3523071428571429,0.20235931852175693,0.44092857142857156,0.20212256979274668,0.5332357142857143,0.19833723574882903,0.7638285714285715,0.16204143452966072,1.0841380952380955,0.1389168993628102,0.17181818181818184,0.2163767580655897,0.4990909090909091,0.21103407051646175,0.6536363636363638,0.22081878094689747,1.6986363636363635,0.5677767334403937,2.2427272727272736,0.5463436214998171,2.6072727272727274,0.40886067753349453,2.97,0.3434406640045871,48154770296.6926,0.06909842355047704,10916249757.9916,0.4980586658817363,84.0267577476249,-0.287841091154725,1.5,-0.14153313002649145,0.9,-0.06212819386454829,-93.2137,44.9097
29,2016-01,MN,MINNEAPOLIS,2016-01,3.87,"(-93.230215, 44.963205)",55406,121942.23,Improvements_Additions for Apartments_Coops,0.36607999999999996,0.20233944984072846,0.387725,0.2019489619680824,0.42545,0.20235931852175693,0.5163949999999999,0.20212256979274668,0.6195525000000001,0.19833723574882903,0.8560224999999999,0.16204143452966072,1.1534299999999997,0.1389168993628102,0.22736842105263158,0.2163767580655897,0.43473684210526314,0.21103407051646175,0.5431578947368422,0.22081878094689747,1.5184210526315787,0.5677767334403937,2.085263157894737,0.5463436214998171,2.4889473684210524,0.40886067753349453,2.8584210526315785,0.3434406640045871,48927223434.2447,0.06909842355047704,11703539581.608,0.4980586658817363,85.2359522201137,-0.287841091154725,1.4,-0.14153313002649145,0.8,-0.06212819386454829,-93.230215,44.963205
30,2016-02,MN,MINNEAPOLIS,2016-02,3.6,"(-105.279275, 40.010492)",55414,52786.34,Improvements_Additions for Apartments_Coops,0.3714619047619048,0.20233944984072846,0.39233095238095245,0.2019489619680824,0.43129761904761904,0.20235931852175693,0.5186452380952381,0.20212256979274668,0.6227190476190477,0.19833723574882903,0.8697642857142857,0.16204143452966072,1.1407690476190477,0.1389168993628102,0.25600000000000006,0.2163767580655897,0.445,0.21103407051646175,0.534,0.22081878094689747,1.222,0.5677767334403937,1.7794999999999999,0.5463436214998171,2.1990000000000003,0.40886067753349453,2.623,0.3434406640045871,48187387172.2131,0.06909842355047704,11496937509.4445,0.4980586658817363,85.1896726255448,-0.287841091154725,1.2,-0.14153313002649145,0.8,-0.06212819386454829,-105.279275,40.010492
