,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
11,2016-07,NV,LAS VEGAS,2016-07,3.24,"(-115.296029, 36.123896)",89147,130664.9,Improvements_Additions for Apartments_Coops,0.41380476190476195,0.2594634354739898,0.43819285714285716,0.262526524226767,0.4828833333333333,0.2578642690544184,0.5734595238095239,0.23765110370196438,0.6963095238095237,0.2116267346660986,0.9990666666666668,0.1591416237341842,1.31707619047619,0.14021004339678825,0.2635000000000001,0.2849492724067929,0.4040000000000001,0.24901519835289077,0.5135000000000001,0.22956777131944603,1.0715,0.392540610883818,1.504,0.5217865230266628,1.8224999999999998,0.4835310148343686,2.227,0.43402198435212136,48187387172.2131,-0.22818618911974523,11703539581.608,-0.42287573964537534,83.5754036116387,0.2873964796196827,1.6,0.24740665195641962,2.2,0.24983613393108658,-115.296029,36.123896
12,2016-09,NV,LAS VEGAS,2016-09,3.41,"(-115.110054, 36.169143)",89101,50197.56999999999,Improvements_Additions for Apartments_Coops,0.42159363636363634,0.2594634354739898,0.4495609090909092,0.262526524226767,0.5270018181818182,0.2578642690544184,0.6625254545454545,0.23765110370196438,0.8496804545454547,0.2116267346660986,1.2471445454545458,0.1591416237341842,1.5560313636363639,0.14021004339678825,0.1914285714285715,0.2849492724067929,0.4671428571428572,0.24901519835289077,0.5933333333333333,0.22956777131944603,1.178095238095238,0.392540610883818,1.6304761904761906,0.5217865230266628,2.0152380952380957,0.4835310148343686,2.350476190476191,0.43402198435212136,49276189942.4712,-0.22818618911974523,11531266279.4831,-0.42287573964537534,85.2359522201137,0.2873964796196827,1.5,0.24740665195641962,2.1,0.24983613393108658,-115.110054,36.169143
13,2016-11,NV,LAS VEGAS,2016-11,3.18,"(-115.296204, 36.089822)",89148,76342.94,Improvements_Additions for Apartments_Coops,0.4339245454545454,0.2594634354739898,0.45880500000000013,0.262526524226767,0.5631090909090911,0.2578642690544184,0.7006386363636362,0.23765110370196438,0.9084640909090909,0.2116267346660986,1.2693081818181815,0.1591416237341842,1.6029650000000002,0.14021004339678825,0.29999999999999993,0.2849492724067929,0.5834999999999999,0.24901519835289077,0.736,0.22956777131944603,1.596,0.392540610883818,2.142,0.5217865230266628,2.5369999999999995,0.4835310148343686,2.8620000000000005,0.43402198435212136,49692544708.3448,-0.22818618911974523,11482367114.4991,-0.42287573964537534,87.39008859346599,0.2873964796196827,1.6,0.24740665195641962,1.8,0.24983613393108658,-115.296204,36.089822
14,2017-02,NV,LAS VEGAS,2017-02,3.53,"(-115.145633, 36.235894)",89032,108833.5,Improvements_Additions for Apartments_Coops,0.6863609999999999,0.2594634354739898,0.7163664999999999,0.262526524226767,0.7767084999999999,0.2578642690544184,0.8480275,0.23765110370196438,1.0445964999999997,0.2116267346660986,1.3514585000000001,0.1591416237341842,1.723958,0.14021004339678825,0.48210526315789465,0.2849492724067929,0.653157894736842,0.24901519835289077,0.8205263157894739,0.22956777131944603,1.9015789473684213,0.392540610883818,2.4189473684210525,0.5217865230266628,2.763684210526316,0.4835310148343686,3.0321052631578946,0.43402198435212136,50034086230.3872,-0.22818618911974523,12605986919.9069,-0.42287573964537534,88.43997566936979,0.2873964796196827,1.8,0.24740665195641962,1.6,0.24983613393108658,-115.145633,36.235894
15,2017-03,NV,LAS VEGAS,2017-03,3.8,"(-115.140023, 36.126915000000004)",89169,82901.89,Improvements_Additions for Apartments_Coops,0.8095565217391305,0.2594634354739898,0.8706386956521739,0.262526524226767,0.9286352173913045,0.2578642690544184,0.982656956521739,0.23765110370196438,1.134713043478261,0.2116267346660986,1.4258673913043478,0.1591416237341842,1.8069104347826086,0.14021004339678825,0.662608695652174,0.2849492724067929,0.8856521739130436,0.24901519835289077,1.0104347826086957,0.22956777131944603,2.013478260869565,0.392540610883818,2.4817391304347827,0.5217865230266628,2.8317391304347823,0.4835310148343686,3.0813043478260873,0.43402198435212136,49971382532.5922,-0.22818618911974523,12351593318.9066,-0.42287573964537534,89.2057504560787,0.2873964796196827,1.7,0.24740665195641962,1.5,0.24983613393108658,-115.140023,36.126915000000004
16,2017-06,NV,LAS VEGAS,2017-06,3.4,"(-115.06299999999999, 36.1885)",89101,11020.91,Improvements_Additions for Apartments_Coops,1.0640909090909094,0.2594634354739898,1.1183336363636365,0.262526524226767,1.1714068181818182,0.2578642690544184,1.2101513636363637,0.23765110370196438,1.2624095454545452,0.2116267346660986,1.4322822727272726,0.1591416237341842,1.7322577272727273,0.14021004339678825,0.8413636363636363,0.2849492724067929,1.1095454545454546,0.24901519835289077,1.200909090909091,0.22956777131944603,1.7740909090909094,0.392540610883818,2.186818181818182,0.5217865230266628,2.5399999999999996,0.4835310148343686,2.796363636363637,0.43402198435212136,48913265551.9221,-0.22818618911974523,12388258203.7622,-0.42287573964537534,84.4501908643932,0.2873964796196827,1.5,0.24740665195641962,1.4,0.24983613393108658,-115.06299999999999,36.1885
17,2018-01,NV,LAS VEGAS,2018-01,3.33,"(-115.23025700000001, 36.196569000000004)",89108,90061.56,Improvements_Additions for Apartments_Coops,1.4378880952380952,0.2594634354739898,1.467563181818182,0.262526524226767,1.5610881818181819,0.2578642690544184,1.6355336363636364,0.23765110370196438,1.733970909090909,0.2116267346660986,1.9067609090909092,0.1591416237341842,2.196459545454545,0.14021004339678825,1.3000000000000003,0.2849492724067929,1.6199999999999994,0.24901519835289077,1.8028571428571425,0.22956777131944603,2.381904761904762,0.392540610883818,2.5838095238095242,0.5217865230266628,2.7342857142857144,0.4835310148343686,2.8776190476190475,0.43402198435212136,49256214828.7987,-0.22818618911974523,11707722927.962,-0.42287573964537534,89.9213768261837,0.2873964796196827,1.5,0.24740665195641962,1.2,0.24983613393108658,-115.23025700000001,36.196569000000004
18,2018-02,NV,LAS VEGAS,2018-02,3.43,"(-115.17855, 36.036336999999996)",89123,136098.56,Improvements_Additions for Apartments_Coops,1.4432573684210526,0.2594634354739898,1.4712210000000003,0.262526524226767,1.6018225000000001,0.2578642690544184,1.722691,0.23765110370196438,1.874672,0.2116267346660986,2.0893395000000003,0.1591416237341842,2.3701375000000002,0.14021004339678825,1.3805263157894736,0.2849492724067929,1.7857894736842108,0.24901519835289077,1.9636842105263155,0.22956777131944603,2.599473684210526,0.392540610883818,2.8589473684210525,0.5217865230266628,3.016842105263158,0.4835310148343686,3.1310526315789478,0.43402198435212136,49855182727.6109,-0.22818618911974523,11223830878.8235,-0.42287573964537534,87.46440959377459,0.2873964796196827,1.6,0.24740665195641962,1.2,0.24983613393108658,-115.17855,36.036336999999996
19,2018-03,NV,LAS VEGAS,2018-03,3.6,"(-115.13688049999999, 36.1074135)",89183,88595.52,Improvements_Additions for Apartments_Coops,1.5183047619047625,0.2594634354739898,1.6006185714285712,0.262526524226767,1.7991309523809524,0.2578642690544184,1.9184628571428568,0.23765110370196438,2.173357619047619,0.2116267346660986,2.345182380952381,0.1591416237341842,2.596475714285714,0.14021004339678825,1.636666666666667,0.2849492724067929,1.917142857142857,0.24901519835289077,2.0628571428571427,0.22956777131944603,2.6295238095238096,0.392540610883818,2.8423809523809527,0.5217865230266628,2.9733333333333327,0.4835310148343686,3.0914285714285716,0.43402198435212136,50938614889.0817,-0.22818618911974523,11226317067.5623,-0.42287573964537534,87.3618752869242,0.2873964796196827,1.5,0.24740665195641962,1.1,0.24983613393108658,-115.13688049999999,36.1074135
20,2018-04,NV,LAS VEGAS,2018-04,3.93,"(-115.24843700000001, 36.234752)",89129,52491.7,Improvements_Additions for Apartments_Coops,1.7027510000000003,0.2594634354739898,1.7432829999999995,0.262526524226767,1.896724,0.2578642690544184,2.0408605,0.23765110370196438,2.349426,0.2116267346660986,2.493657999999999,0.1591416237341842,2.7355454999999997,0.14021004339678825,1.6604761904761904,0.2849492724067929,1.9780952380952381,0.24901519835289077,2.153809523809524,0.22956777131944603,2.701904761904762,0.392540610883818,2.869047619047619,0.5217865230266628,2.9595238095238092,0.4835310148343686,3.0719047619047624,0.43402198435212136,50617906919.2487,-0.22818618911974523,11318405616.2761,-0.42287573964537534,88.55316323110772,0.2873964796196827,1.6,0.24740665195641962,1.1,0.24983613393108658,-115.24843700000001,36.234752
21,2018-06,NV,LAS VEGAS,2018-06,3.98,"(-115.173152, 36.0337)",89123,90365.42,Improvements_Additions for Apartments_Coops,1.8376333333333337,0.2594634354739898,1.9170571428571423,0.262526524226767,2.068429047619047,0.2578642690544184,2.1502619047619045,0.23765110370196438,2.330264285714286,0.2116267346660986,2.4958952380952377,0.1591416237341842,2.759644285714286,0.14021004339678825,1.8052380952380953,0.2849492724067929,2.113809523809524,0.24901519835289077,2.328095238095238,0.22956777131944603,2.775714285714286,0.392540610883818,2.9123809523809525,0.5217865230266628,2.9776190476190476,0.4835310148343686,3.0500000000000007,0.43402198435212136,49574400061.0285,-0.22818618911974523,12344213844.2875,-0.42287573964537534,87.010875232225,0.2873964796196827,1.6,0.24740665195641962,1.0,0.24983613393108658,-115.173152,36.0337
