,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-3),Corr with student_vol(-3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
10,2013-05,OH,CINCINNATI,2013-05,3.45,"(-84.56045300000001, 39.273099)",4371.99,Improvements_Additions for Apartments_Coops,0.1435047619047619,0.3213785407360679,0.1638380952380952,0.3248944600591068,0.19670952380952378,0.32469747962452195,0.23396000000000003,0.3105526897835762,0.27416904761904765,0.30250871476015656,0.42137333333333327,0.26115675998153826,0.6936104761904763,0.2417276454075614,0.020454545454545458,0.3204661294590522,0.08090909090909093,0.31748842841603186,0.11863636363636366,0.30785545031683176,0.840909090909091,0.4996679368876148,1.9281818181818182,0.6092126830461152,2.7286363636363635,0.48366115347286803,3.112727272727273,0.40986037710996,41507587847.7023,-0.11693034902570384,11080080767.5225,-0.44406384655033376,91.578064558499,0.28400548365802913,2.6,0.10618287875073708,2.7,-0.11770974539792288,-84.56045300000001,39.273099
11,2014-01,OH,CINCINNATI,2014-01,3.8,"(-84.563507, 39.296459999999996)",34167.01,Improvements_Additions for Apartments_Coops,0.09003181818181817,0.3213785407360679,0.1219931818181818,0.3248944600591068,0.1597090909090909,0.32469747962452195,0.204425,0.3105526897835762,0.23822954545454544,0.30250871476015656,0.33795909090909093,0.26115675998153826,0.5752999999999999,0.2417276454075614,0.017142857142857144,0.3204661294590522,0.0690476190476191,0.31748842841603186,0.11619047619047623,0.30785545031683176,1.6466666666666665,0.4996679368876148,2.858095238095238,0.6092126830461152,3.521904761904762,0.48366115347286803,3.76904761904762,0.40986037710996,43204378466.7468,-0.11693034902570384,9473893018.88319,-0.44406384655033376,86.47441597957871,0.28400548365802913,2.5,0.10618287875073708,2.2,-0.11770974539792288,-84.563507,39.296459999999996
12,2014-05,OH,CINCINNATI,2014-05,4.75,"(-84.57946899999999, 39.137114000000004)",1406.88,Improvements_Additions for Apartments_Coops,0.08842000000000001,0.3213785407360679,0.1198375,0.3248944600591068,0.15035749999999998,0.32469747962452195,0.1914675,0.3105526897835762,0.22609000000000004,0.30250871476015656,0.3231200000000001,0.26115675998153826,0.537955,0.2417276454075614,0.026666666666666665,0.3204661294590522,0.05190476190476192,0.31748842841603186,0.0966666666666667,0.30785545031683176,1.5928571428571427,0.4996679368876148,2.559047619047619,0.6092126830461152,3.1152380952380954,0.48366115347286803,3.3899999999999997,0.40986037710996,43938467193.2505,-0.11693034902570384,10011024566.6146,-0.44406384655033376,84.4459748156831,0.28400548365802913,2.4,0.10618287875073708,2.1,-0.11770974539792288,-84.57946899999999,39.137114000000004
13,2014-08,OH,CINCINNATI,2014-08,3.54,"(-84.42414699999999, 39.146712)",20578.39,Improvements_Additions for Apartments_Coops,0.090785,0.3213785407360679,0.121725,0.3248944600591068,0.15602,0.32469747962452195,0.19527250000000002,0.3105526897835762,0.23465000000000003,0.30250871476015656,0.32965500000000003,0.26115675998153826,0.55889,0.2417276454075614,0.030000000000000006,0.3204661294590522,0.0523809523809524,0.31748842841603186,0.10714285714285714,0.30785545031683176,1.6314285714285717,0.4996679368876148,2.42,0.6092126830461152,2.9366666666666665,0.48366115347286803,3.2009523809523808,0.40986037710996,44885858708.7515,-0.11693034902570384,9507943209.106209,-0.44406384655033376,82.56600445924391,0.28400548365802913,2.0,0.10618287875073708,2.0,-0.11770974539792288,-84.42414699999999,39.146712
14,2014-11,OH,CINCINNATI,2014-11,3.57,"(-84.521048, 39.284197)",5624.61,Improvements_Additions for Apartments_Coops,0.09656999999999999,0.3213785407360679,0.12222499999999999,0.3248944600591068,0.1548075,0.32469747962452195,0.20246,0.3105526897835762,0.23286250000000003,0.30250871476015656,0.32679500000000006,0.26115675998153826,0.56206,0.2417276454075614,0.04166666666666668,0.3204661294590522,0.06944444444444448,0.31748842841603186,0.13444444444444448,0.30785545031683176,1.6205555555555557,0.4996679368876148,2.325555555555556,0.6092126830461152,2.7644444444444445,0.48366115347286803,3.038333333333333,0.40986037710996,45241950015.4561,-0.11693034902570384,11117378455.0815,-0.44406384655033376,81.64661519553,0.28400548365802913,2.3,0.10618287875073708,1.7,-0.11770974539792288,-84.521048,39.284197
15,2015-05,OH,CINCINNATI,2015-05,2.88,"(-84.460759, 39.132018)",62022.26,Improvements_Additions for Apartments_Coops,0.12315789473684212,0.3213785407360679,0.14795,0.3248944600591068,0.1842289473684211,0.32469747962452195,0.2296,0.3105526897835762,0.2795368421052632,0.30250871476015656,0.41659473684210524,0.26115675998153826,0.7346236842105265,0.2417276454075614,0.013000000000000001,0.3204661294590522,0.07950000000000002,0.31748842841603186,0.24100000000000002,0.30785545031683176,1.5385000000000002,0.4996679368876148,2.1975000000000002,0.6092126830461152,2.692,0.48366115347286803,2.9550000000000005,0.40986037710996,48997735451.5931,-0.11693034902570384,11837215038.8922,-0.44406384655033376,80.33849809561521,0.28400548365802913,1.9,0.10618287875073708,2.0,-0.11770974539792288,-84.460759,39.132018
16,2015-06,OH,CINCINNATI,2015-06,3.68,"(-84.369476, 39.291931)",13544.08,Improvements_Additions for Apartments_Coops,0.12293636363636364,0.3213785407360679,0.14681590909090908,0.3248944600591068,0.1858840909090909,0.32469747962452195,0.23472954545454539,0.3105526897835762,0.2827113636363637,0.30250871476015656,0.43974545454545466,0.26115675998153826,0.7702659090909093,0.2417276454075614,0.007727272727272728,0.3204661294590522,0.08681818181818185,0.31748842841603186,0.2754545454545455,0.30785545031683176,1.6836363636363636,0.4996679368876148,2.3636363636363638,0.6092126830461152,2.8454545454545452,0.48366115347286803,3.1118181818181814,0.40986037710996,48668534366.8701,-0.11693034902570384,12019442988.8631,-0.44406384655033376,82.122236078369,0.28400548365802913,1.9,0.10618287875073708,1.7,-0.11770974539792288,-84.369476,39.291931
17,2016-07,OH,CINCINNATI,2016-07,3.2,"(-84.52180200000001, 39.093934999999995)",144179.8,Improvements_Additions for Apartments_Coops,0.41380476190476195,0.3213785407360679,0.43819285714285716,0.3248944600591068,0.4828833333333333,0.32469747962452195,0.5734595238095239,0.3105526897835762,0.6963095238095237,0.30250871476015656,0.9990666666666668,0.26115675998153826,1.31707619047619,0.2417276454075614,0.2635000000000001,0.3204661294590522,0.4040000000000001,0.31748842841603186,0.5135000000000001,0.30785545031683176,1.0715,0.4996679368876148,1.504,0.6092126830461152,1.8224999999999998,0.48366115347286803,2.227,0.40986037710996,50596067254.1766,-0.11693034902570384,10916249757.9916,-0.44406384655033376,83.5754036116387,0.28400548365802913,1.9,0.10618287875073708,1.4,-0.11770974539792288,-84.52180200000001,39.093934999999995
18,2016-08,OH,CINCINNATI,2016-08,3.14,"(-84.656032, 39.118572)",50979.399999999994,Improvements_Additions for Apartments_Coops,0.41817045454545454,0.3213785407360679,0.4429568181818182,0.3248944600591068,0.5122418181818182,0.32469747962452195,0.6351372727272727,0.3105526897835762,0.810223181818182,0.30250871476015656,1.1977463636363632,0.26115675998153826,1.5097959090909088,0.2417276454075614,0.2608695652173914,0.3204661294590522,0.4460869565217393,0.31748842841603186,0.5682608695652173,0.30785545031683176,1.1330434782608694,0.4996679368876148,1.5565217391304347,0.6092126830461152,1.8895652173913038,0.48366115347286803,2.261739130434783,0.40986037710996,50249654907.7038,-0.11693034902570384,11703539581.608,-0.44406384655033376,84.0267577476249,0.28400548365802913,1.8,0.10618287875073708,1.4,-0.11770974539792288,-84.656032,39.118572
19,2017-09,OH,CINCINNATI,2017-09,3.88,"(-84.336046, 39.075101000000004)",2955646.0,Improvements_Additions for Apartments_Coops,1.1784444999999997,0.3213785407360679,1.1967471428571432,0.3248944600591068,1.23492,0.32469747962452195,1.2721638095238097,0.3105526897835762,1.3232957142857147,0.30250871476015656,1.4732157142857143,0.26115675998153826,1.738246666666667,0.2417276454075614,0.9940000000000001,0.3204661294590522,1.171,0.31748842841603186,1.2799999999999998,0.30785545031683176,1.7975,0.4996679368876148,2.2020000000000004,0.6092126830461152,2.5300000000000002,0.48366115347286803,2.7764999999999995,0.40986037710996,49855182727.6109,-0.11693034902570384,12745337772.3068,-0.44406384655033376,89.1832712740787,0.28400548365802913,2.1,0.10618287875073708,1.0,-0.11770974539792288,-84.336046,39.075101000000004
20,2017-11,OH,CINCINNATI,2017-11,3.235,"(-84.52086700000001, 39.104558000000004)",67210.835,Improvements_Additions for Apartments_Coops,1.183300476190476,0.3213785407360679,1.2036563636363637,0.3248944600591068,1.2878790909090911,0.32469747962452195,1.3757831818181818,0.3105526897835762,1.4342040909090912,0.30250871476015656,1.6264599999999996,0.26115675998153826,1.9015695454545458,0.2417276454075614,1.09,0.3204661294590522,1.3895238095238096,0.31748842841603186,1.5600000000000003,0.30785545031683176,2.05,0.4996679368876148,2.353333333333333,0.6092126830461152,2.6023809523809525,0.48366115347286803,2.801904761904762,0.40986037710996,50617906919.2487,-0.11693034902570384,12103218541.1776,-0.44406384655033376,88.11497433433529,0.28400548365802913,2.0,0.10618287875073708,0.9,-0.11770974539792288,-84.52086700000001,39.104558000000004
21,2018-02,OH,CINCINNATI,2018-02,4.255,"(-84.514482, 39.099396999999996)",41717.05,Improvements_Additions for Apartments_Coops,1.4432573684210526,0.3213785407360679,1.4712210000000003,0.3248944600591068,1.6018225000000001,0.32469747962452195,1.722691,0.3105526897835762,1.874672,0.30250871476015656,2.0893395000000003,0.26115675998153826,2.3701375000000002,0.2417276454075614,1.3805263157894736,0.3204661294590522,1.7857894736842108,0.31748842841603186,1.9636842105263155,0.30785545031683176,2.599473684210526,0.4996679368876148,2.8589473684210525,0.6092126830461152,3.016842105263158,0.48366115347286803,3.1310526315789478,0.40986037710996,50828048870.0026,-0.11693034902570384,11707722927.962,-0.44406384655033376,87.46440959377459,0.28400548365802913,2.1,0.10618287875073708,0.9,-0.11770974539792288,-84.514482,39.099396999999996
22,2018-04,OH,CINCINNATI,2018-04,4.35,"(-84.47935799999999, 39.132216)",19599.79,Improvements_Additions for Apartments_Coops,1.7027510000000003,0.3213785407360679,1.7432829999999995,0.3248944600591068,1.896724,0.32469747962452195,2.0408605,0.3105526897835762,2.349426,0.30250871476015656,2.493657999999999,0.26115675998153826,2.7355454999999997,0.2417276454075614,1.6604761904761904,0.3204661294590522,1.9780952380952381,0.31748842841603186,2.153809523809524,0.30785545031683176,2.701904761904762,0.4996679368876148,2.869047619047619,0.6092126830461152,2.9595238095238092,0.48366115347286803,3.0719047619047624,0.40986037710996,50407042046.8076,-0.11693034902570384,11226317067.5623,-0.44406384655033376,88.55316323110772,0.28400548365802913,2.0,0.10618287875073708,1.0,-0.11770974539792288,-84.47935799999999,39.132216
23,2018-07,OH,CINCINNATI,2018-07,4.06,"(-84.486684, 39.151022999999995)",13154.84,Improvements_Additions for Apartments_Coops,1.918467142857143,0.3213785407360679,1.9587813636363633,0.3248944600591068,2.0789990909090905,0.32469747962452195,2.1733236363636363,0.3105526897835762,2.3391181818181823,0.30250871476015656,2.519525454545455,0.26115675998153826,2.7944931818181815,0.2417276454075614,1.8933333333333329,0.3204661294590522,2.1680952380952383,0.31748842841603186,2.3876190476190478,0.30785545031683176,2.7776190476190483,0.4996679368876148,2.8890476190476195,0.6092126830461152,2.944761904761905,0.48366115347286803,3.006666666666667,0.40986037710996,50563742345.0186,-0.11693034902570384,12344213844.2875,-0.44406384655033376,88.50967086025801,0.28400548365802913,2.0,0.10618287875073708,0.8,-0.11770974539792288,-84.486684,39.151022999999995
