,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(4),Corr with mortgage 90(4),long,lat
10,2012-12,MA,BOSTON,2012-12,3.09,"(-0.0214, 52.9746)",51820.924999999996,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,0.17474578436987426,0.1875157894736842,0.17319490887999028,0.21092631578947374,0.16653126816811015,0.2552894736842105,0.1634433609414012,0.30947368421052623,0.14928456522141023,0.5145657894736843,0.115271010599568,0.8483157894736841,0.0860839728139535,0.039500000000000014,0.19448421231985377,0.11950000000000005,0.15241302476963972,0.1585,0.12270219433650917,0.6960000000000001,0.08272000770874241,1.7189999999999999,0.16842994956726104,2.4675000000000002,0.17877940076532645,2.8835,0.16361528688591925,40395555554.9932,-0.23341530976839303,12022315813.7363,0.21172850449743794,89.6061116730853,0.167776040015088,2.4,0.26531640791608124,2.4,0.2816535127532796,-0.0214,52.9746
11,2013-03,MA,BOSTON,2013-03,2.75,"(-71.088412, 42.346125)",77917.26,Refinancing_Purchase of Apartments_Coops,0.15505000000000002,0.17474578436987426,0.17309999999999998,0.17319490887999028,0.20345,0.16653126816811015,0.2419,0.1634433609414012,0.28190000000000004,0.14928456522141023,0.44782500000000003,0.115271010599568,0.7351250000000001,0.0860839728139535,0.07800000000000003,0.19448421231985377,0.11450000000000005,0.15241302476963972,0.14750000000000002,0.12270219433650917,0.8185000000000002,0.08272000770874241,1.9575,0.16842994956726104,2.7840000000000003,0.17877940076532645,3.1625000000000005,0.16361528688591925,41471481477.9035,-0.23341530976839303,11154944519.578999,0.21172850449743794,90.2956809830492,0.167776040015088,2.4,0.26531640791608124,2.3,0.2816535127532796,-71.088412,42.346125
12,2013-06,MA,BOSTON,2013-06,2.29,"(-71.0596, 42.3605)",74107.05,Refinancing_Purchase of Apartments_Coops,0.13074,0.17474578436987426,0.15964599999999998,0.17319490887999028,0.19319250000000002,0.16653126816811015,0.23164600000000002,0.1634433609414012,0.27374,0.14928456522141023,0.4139935,0.115271010599568,0.6839425000000002,0.0860839728139535,0.0345,0.19448421231985377,0.08750000000000002,0.15241302476963972,0.142,0.12270219433650917,1.2035,0.08272000770874241,2.3000000000000003,0.16842994956726104,3.0740000000000003,0.17877940076532645,3.400000000000001,0.16361528688591925,41244159430.5284,-0.23341530976839303,9123117418.53368,0.21172850449743794,88.794109524791,0.167776040015088,2.4,0.26531640791608124,2.2,0.2816535127532796,-71.0596,42.3605
13,2013-07,MA,BOSTON,2013-07,5.0,"(-71.05565899999999, 42.359044)",20734.46,Refinancing_Purchase of Apartments_Coops,0.12117913043478262,0.17474578436987426,0.15611695652173913,0.17319490887999028,0.19111913043478265,0.16653126816811015,0.232388695652174,0.1634433609414012,0.26758260869565215,0.14928456522141023,0.40307869565217386,0.115271010599568,0.6838491304347826,0.0860839728139535,0.020909090909090912,0.19448421231985377,0.07363636363636367,0.15241302476963972,0.12181818181818184,0.12270219433650917,1.4031818181818183,0.08272000770874241,2.5822727272727275,0.16842994956726104,3.3072727272727276,0.17877940076532645,3.605,0.16361528688591925,41658198449.9001,-0.23341530976839303,9498561196.652071,0.21172850449743794,88.920473853359,0.167776040015088,2.0,0.26531640791608124,2.3,0.2816535127532796,-71.05565899999999,42.359044
14,2013-08,MA,BOSTON,2013-08,3.17,"(-71.0855522, 42.3456077)",186208.93,Refinancing_Purchase of Apartments_Coops,0.11782999999999999,0.17474578436987426,0.1493142857142857,0.17319490887999028,0.1840704761904762,0.16653126816811015,0.22633523809523812,0.1634433609414012,0.2633952380952381,0.14928456522141023,0.3949285714285714,0.115271010599568,0.6679499999999999,0.0860839728139535,0.03681818181818183,0.19448421231985377,0.07181818181818184,0.15241302476963972,0.12681818181818183,0.12270219433650917,1.5204545454545455,0.08272000770874241,2.7372727272727273,0.16842994956726104,3.488181818181818,0.17877940076532645,3.757727272727273,0.16361528688591925,41561863313.5151,-0.23341530976839303,9260696074.4491,0.21172850449743794,86.5850023909696,0.167776040015088,2.4,0.26531640791608124,2.3,0.2816535127532796,-71.0855522,42.3456077
15,2013-11,MA,BOSTON,2013-11,5.25,"(-71.67166999999999, -35.42667)",114341.08,Refinancing_Purchase of Apartments_Coops,0.10274761904761903,0.17474578436987426,0.12919047619047616,0.17319490887999028,0.1672714285714286,0.16653126816811015,0.20747142857142856,0.1634433609414012,0.2382452380952381,0.14928456522141023,0.35063809523809525,0.115271010599568,0.5866738095238094,0.0860839728139535,0.046842105263157914,0.19448421231985377,0.09842105263157898,0.15241302476963972,0.12157894736842105,0.12270219433650917,1.3710526315789473,0.08272000770874241,2.7184210526315793,0.16842994956726104,3.503684210526316,0.17877940076532645,3.7999999999999985,0.16361528688591925,44555116847.5878,-0.23341530976839303,10216278752.7557,0.21172850449743794,90.32258801944451,0.167776040015088,2.4,0.26531640791608124,2.2,0.2816535127532796,-71.67166999999999,-35.42667
16,2013-12,MA,BOSTON,2013-12,3.4,"(-71.09299399999999, 42.278778)",15256.66,Refinancing_Purchase of Apartments_Coops,0.10022500000000001,0.17474578436987426,0.1273025,0.17319490887999028,0.16723,0.16653126816811015,0.2127325,0.1634433609414012,0.24389749999999996,0.14928456522141023,0.34639499999999995,0.115271010599568,0.579045,0.0860839728139535,0.019047619047619053,0.19448421231985377,0.09523809523809526,0.15241302476963972,0.13285714285714287,0.12270219433650917,1.5761904761904764,0.08272000770874241,2.901904761904762,0.16842994956726104,3.6266666666666674,0.17877940076532645,3.889047619047619,0.16361528688591925,44109559396.2995,-0.23341530976839303,9473893018.88319,0.21172850449743794,88.1059676388142,0.167776040015088,1.9,0.26531640791608124,2.1,0.2816535127532796,-71.09299399999999,42.278778
17,2014-03,MA,BOSTON,2014-03,4.835,"(-71.037761, 42.368753000000005)",41185.305,Refinancing_Purchase of Apartments_Coops,0.0888,0.17474578436987426,0.1207452380952381,0.17319490887999028,0.15488333333333335,0.16653126816811015,0.19711666666666672,0.1634433609414012,0.23409761904761903,0.14928456522141023,0.33106666666666673,0.115271010599568,0.5571428571428573,0.0860839728139535,0.051428571428571455,0.19448421231985377,0.07857142857142858,0.15241302476963972,0.1280952380952381,0.12270219433650917,1.6395238095238096,0.08272000770874241,2.7233333333333327,0.16842994956726104,3.3466666666666667,0.17877940076532645,3.6209523809523807,0.16361528688591925,44931729222.7983,-0.23341530976839303,9438159522.248821,0.21172850449743794,88.4263020205016,0.167776040015088,2.1,0.26531640791608124,2.1,0.2816535127532796,-71.037761,42.368753000000005
18,2014-04,MA,BOSTON,2014-04,3.95,"(-71.03701099999999, 42.379227)",8451.26,Refinancing_Purchase of Apartments_Coops,0.08864000000000001,0.17474578436987426,0.120115,0.17319490887999028,0.1517,0.16653126816811015,0.1918625,0.1634433609414012,0.227495,0.14928456522141023,0.32422500000000004,0.115271010599568,0.550005,0.0860839728139535,0.023333333333333345,0.19448421231985377,0.05333333333333336,0.15241302476963972,0.10761904761904763,0.12270219433650917,1.7009523809523805,0.08272000770874241,2.705238095238095,0.16842994956726104,3.265238095238095,0.17877940076532645,3.5176190476190476,0.16361528688591925,45277214883.1472,-0.23341530976839303,10011024566.6146,0.21172850449743794,85.3165844012547,0.167776040015088,1.7,0.26531640791608124,2.1,0.2816535127532796,-71.03701099999999,42.379227
19,2014-06,MA,BOSTON,2014-06,5.6850000000000005,"(-71.05613000000001, 42.407944)",49009.44,Refinancing_Purchase of Apartments_Coops,0.09278571428571428,0.17474578436987426,0.12241428571428574,0.17319490887999028,0.1523738095238095,0.16653126816811015,0.19377380952380954,0.1634433609414012,0.2309452380952381,0.14928456522141023,0.32388809523809525,0.115271010599568,0.5421714285714285,0.0860839728139535,0.024285714285714296,0.19448421231985377,0.06047619047619051,0.15241302476963972,0.10476190476190479,0.12270219433650917,1.679047619047619,0.08272000770874241,2.5985714285714288,0.16842994956726104,3.1533333333333333,0.17877940076532645,3.4199999999999995,0.16361528688591925,44591810060.8257,-0.23341530976839303,11032404366.8063,0.21172850449743794,83.69462947740479,0.167776040015088,2.1,0.26531640791608124,2.1,0.2816535127532796,-71.05613000000001,42.407944
20,2014-07,MA,BOSTON,2014-07,3.89,"(-71.066405, 42.344867)",24296.83,Refinancing_Purchase of Apartments_Coops,0.09286956521739129,0.17474578436987426,0.12270652173913045,0.17319490887999028,0.15438695652173914,0.16653126816811015,0.1955586956521739,0.1634433609414012,0.23417391304347826,0.14928456522141023,0.32826086956521744,0.115271010599568,0.5557695652173912,0.0860839728139535,0.024090909090909093,0.19448421231985377,0.059545454545454575,0.15241302476963972,0.11136363636363639,0.12270219433650917,1.699545454545455,0.08272000770874241,2.542272727272727,0.16842994956726104,3.071363636363636,0.17877940076532645,3.3318181818181816,0.16361528688591925,44940573200.2924,-0.23341530976839303,9507943209.106209,0.21172850449743794,80.910251046009,0.167776040015088,1.9,0.26531640791608124,2.1,0.2816535127532796,-71.066405,42.344867
