,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(3),Corr with mortgage 90(3)
14,2012-11,TX,HOUSTON,2012-11,2.6,"(-95.339742, 29.828077)",23682.1,Refinancing_Purchase of Apartments_Coops,0.1555,0.23919014091347585,0.18060909090909089,0.2414828518060684,0.20888636363636362,0.244128589299297,0.25813636363636355,0.24187992849331302,0.31102272727272723,0.2362279733970728,0.528347727272727,0.2041037904241931,0.8631931818181818,0.1889067912260304,0.12449999999999999,0.2562999714015762,0.14450000000000002,0.24273874573958176,0.17850000000000002,0.2444466037449224,0.665,0.45657419245164954,1.654,0.5835759160910722,2.3894999999999995,0.5141698763505581,2.8034999999999997,0.46124294394990467,39658399389.4891,-0.1516101373427771,9855625468.0504,0.39654164334391295,89.02745876405929,0.1553726905064989,4.5,-0.12179879484222542,2.4,0.1695025072289827
15,2012-12,TX,HOUSTON,2012-12,2.3,"(-95.349012, 29.758232)",48216.06,Refinancing_Purchase of Apartments_Coops,0.1631578947368421,0.23919014091347585,0.1875157894736842,0.2414828518060684,0.21092631578947374,0.244128589299297,0.2552894736842105,0.24187992849331302,0.30947368421052623,0.2362279733970728,0.5145657894736843,0.2041037904241931,0.8483157894736841,0.1889067912260304,0.039500000000000014,0.2562999714015762,0.11950000000000005,0.24273874573958176,0.1585,0.2444466037449224,0.6960000000000001,0.45657419245164954,1.7189999999999999,0.5835759160910722,2.4675000000000002,0.5141698763505581,2.8835,0.46124294394990467,39298206327.5877,-0.1516101373427771,9123117418.53368,0.39654164334391295,89.6061116730853,0.1553726905064989,4.6,-0.12179879484222542,2.4,0.1695025072289827
16,2013-01,TX,HOUSTON,2013-01,2.725,"(-95.39, 29.73)",65878.76000000001,Refinancing_Purchase of Apartments_Coops,0.16043181818181818,0.23919014091347585,0.17947272727272726,0.2414828518060684,0.20497272727272725,0.244128589299297,0.2497954545454545,0.24187992849331302,0.30261363636363625,0.2362279733970728,0.48810454545454546,0.2041037904241931,0.8142727272727271,0.1889067912260304,0.05190476190476192,0.2562999714015762,0.10761904761904766,0.24273874573958176,0.14523809523809525,0.2444466037449224,0.8052380952380951,0.45657419245164954,1.9147619047619049,0.5835759160910722,2.681428571428571,0.5141698763505581,3.0804761904761913,0.46124294394990467,40395555554.9932,-0.1516101373427771,9498561196.652071,0.39654164334391295,89.513287195688,0.1553726905064989,4.2,-0.12179879484222542,2.3,0.1695025072289827
17,2013-03,TX,HOUSTON,2013-03,3.97,"(-95.63972700000001, 29.878815000000003)",57637.15,Refinancing_Purchase of Apartments_Coops,0.15505000000000002,0.23919014091347585,0.17309999999999998,0.2414828518060684,0.20345,0.244128589299297,0.2419,0.24187992849331302,0.28190000000000004,0.2362279733970728,0.44782500000000003,0.2041037904241931,0.7351250000000001,0.1889067912260304,0.07800000000000003,0.2562999714015762,0.11450000000000005,0.24273874573958176,0.14750000000000002,0.2444466037449224,0.8185000000000002,0.45657419245164954,1.9575,0.5835759160910722,2.7840000000000003,0.5141698763505581,3.1625000000000005,0.46124294394990467,41507587847.7023,-0.1516101373427771,8901986132.75728,0.39654164334391295,90.2956809830492,0.1553726905064989,3.6,-0.12179879484222542,2.1,0.1695025072289827
18,2013-07,TX,HOUSTON,2013-07,2.99,"(-95.262467, 29.597340000000003)",87459.94,Refinancing_Purchase of Apartments_Coops,0.12117913043478262,0.23919014091347585,0.15611695652173913,0.2414828518060684,0.19111913043478265,0.244128589299297,0.232388695652174,0.24187992849331302,0.26758260869565215,0.2362279733970728,0.40307869565217386,0.2041037904241931,0.6838491304347826,0.1889067912260304,0.020909090909090912,0.2562999714015762,0.07363636363636367,0.24273874573958176,0.12181818181818184,0.2444466037449224,1.4031818181818183,0.45657419245164954,2.5822727272727275,0.5835759160910722,3.3072727272727276,0.5141698763505581,3.605,0.46124294394990467,41244159430.5284,-0.1516101373427771,10396023519.0372,0.39654164334391295,88.920473853359,0.1553726905064989,3.8,-0.12179879484222542,2.0,0.1695025072289827
19,2013-09,TX,HOUSTON,2013-09,3.35,"(-95.3887, 29.8464)",23574.33,Refinancing_Purchase of Apartments_Coops,0.11272380952380952,0.23919014091347585,0.14323238095238094,0.2414828518060684,0.18057476190476196,0.244128589299297,0.22133904761904755,0.24187992849331302,0.2531785714285715,0.2362279733970728,0.38033809523809525,0.2041037904241931,0.6526857142857143,0.1889067912260304,0.017500000000000005,0.2562999714015762,0.04150000000000001,0.24273874573958176,0.11850000000000002,0.2444466037449224,1.5959999999999999,0.45657419245164954,2.8095,0.5835759160910722,3.526,0.5141698763505581,3.7870000000000004,0.46124294394990467,41561863313.5151,-0.1516101373427771,9438159522.248821,0.39654164334391295,88.29263433660921,0.1553726905064989,3.6,-0.12179879484222542,2.1,0.1695025072289827
20,2013-10,TX,HOUSTON,2013-10,4.05,"(-95.553184, 29.871452)",48116.21,Refinancing_Purchase of Apartments_Coops,0.10426086956521738,0.23919014091347585,0.13668260869565219,0.2414828518060684,0.17241521739130433,0.244128589299297,0.21265,0.24187992849331302,0.2417652173913043,0.2362279733970728,0.36121521739130424,0.2041037904241931,0.6177847826086957,0.1889067912260304,0.1059090909090909,0.2562999714015762,0.07590909090909094,0.24273874573958176,0.12136363636363635,0.2444466037449224,1.366818181818182,0.45657419245164954,2.615909090909091,0.5835759160910722,3.3795454545454544,0.5141698763505581,3.6759090909090903,0.46124294394990467,42151687038.4775,-0.1516101373427771,10011024566.6146,0.39654164334391295,89.95115518901541,0.1553726905064989,3.3,-0.12179879484222542,2.1,0.1695025072289827
21,2013-11,TX,HOUSTON,2013-11,4.45,"(-95.525275, 29.685658)",13990.23,Refinancing_Purchase of Apartments_Coops,0.10274761904761903,0.23919014091347585,0.12919047619047616,0.2414828518060684,0.1672714285714286,0.244128589299297,0.20747142857142856,0.24187992849331302,0.2382452380952381,0.2362279733970728,0.35063809523809525,0.2041037904241931,0.5866738095238094,0.1889067912260304,0.046842105263157914,0.2562999714015762,0.09842105263157898,0.24273874573958176,0.12157894736842105,0.2444466037449224,1.3710526315789473,0.45657419245164954,2.7184210526315793,0.5835759160910722,3.503684210526316,0.5141698763505581,3.7999999999999985,0.46124294394990467,43204378466.7468,-0.1516101373427771,10653400066.5467,0.39654164334391295,90.32258801944451,0.1553726905064989,3.7,-0.12179879484222542,2.0,0.1695025072289827
22,2014-03,TX,HOUSTON,2014-03,4.0,"(-95.513221, 29.81145)",18056.5,Refinancing_Purchase of Apartments_Coops,0.0888,0.23919014091347585,0.1207452380952381,0.2414828518060684,0.15488333333333335,0.244128589299297,0.19711666666666672,0.24187992849331302,0.23409761904761903,0.2362279733970728,0.33106666666666673,0.2041037904241931,0.5571428571428573,0.1889067912260304,0.051428571428571455,0.2562999714015762,0.07857142857142858,0.24273874573958176,0.1280952380952381,0.2444466037449224,1.6395238095238096,0.45657419245164954,2.7233333333333327,0.5835759160910722,3.3466666666666667,0.5141698763505581,3.6209523809523807,0.46124294394990467,43938467193.2505,-0.1516101373427771,10638305940.4607,0.39654164334391295,88.4263020205016,0.1553726905064989,2.6,-0.12179879484222542,1.7,0.1695025072289827
23,2014-11,TX,HOUSTON,2014-11,4.39,"(-95.367737, 29.751675)",190979.05,Refinancing_Purchase of Apartments_Coops,0.09656999999999999,0.23919014091347585,0.12222499999999999,0.2414828518060684,0.1548075,0.244128589299297,0.20246,0.24187992849331302,0.23286250000000003,0.2362279733970728,0.32679500000000006,0.2041037904241931,0.56206,0.1889067912260304,0.04166666666666668,0.2562999714015762,0.06944444444444448,0.24273874573958176,0.13444444444444448,0.2444466037449224,1.6205555555555557,0.45657419245164954,2.325555555555556,0.5835759160910722,2.7644444444444445,0.5141698763505581,3.038333333333333,0.46124294394990467,45758876905.2845,-0.1516101373427771,12019442988.8631,0.39654164334391295,81.64661519553,0.1553726905064989,3.4,-0.12179879484222542,1.8,0.1695025072289827
24,2015-01,TX,HOUSTON,2015-01,3.545,"(-95.47799499999999, 29.841623)",23279.29,Refinancing_Purchase of Apartments_Coops,0.11871428571428574,0.23919014091347585,0.1349785714285714,0.2414828518060684,0.16807857142857144,0.244128589299297,0.2135952380952381,0.24187992849331302,0.2543190476190476,0.2362279733970728,0.35825714285714294,0.2041037904241931,0.6221666666666666,0.1889067912260304,0.018000000000000006,0.2562999714015762,0.08300000000000003,0.24273874573958176,0.19549999999999998,0.2444466037449224,1.3744999999999998,0.45657419245164954,1.8814999999999997,0.5835759160910722,2.199,0.5141698763505581,2.455,0.46124294394990467,47036055605.935,-0.1516101373427771,11119760586.3258,0.39654164334391295,82.2508390398281,0.1553726905064989,2.8,-0.12179879484222542,1.5,0.1695025072289827
25,2015-04,TX,HOUSTON,2015-04,3.42,"(-95.327476, 29.636377000000003)",32756.57,Refinancing_Purchase of Apartments_Coops,0.12200000000000003,0.23919014091347585,0.14605250000000003,0.2414828518060684,0.18076750000000003,0.244128589299297,0.22830999999999996,0.24187992849331302,0.27596,0.2362279733970728,0.404505,0.2041037904241931,0.6969449999999999,0.1889067912260304,0.018181818181818188,0.2562999714015762,0.09363636363636368,0.24273874573958176,0.23363636363636367,0.2444466037449224,1.3545454545454545,0.45657419245164954,1.9349999999999996,0.5835759160910722,2.334090909090909,0.5141698763505581,2.5859090909090905,0.46124294394990467,48668534366.8701,-0.1516101373427771,10986955735.8103,0.39654164334391295,82.4770523961592,0.1553726905064989,2.7,-0.12179879484222542,1.5,0.1695025072289827
26,2015-07,TX,HOUSTON,2015-07,3.38,"(-95.567645, 29.725921999999997)",40636.81,Refinancing_Purchase of Apartments_Coops,0.1263,0.23919014091347585,0.1488782608695652,0.2414828518060684,0.1881586956521739,0.244128589299297,0.23940652173913043,0.24187992849331302,0.29066956521739135,0.2362279733970728,0.46192391304347824,0.2041037904241931,0.7858413043478262,0.1889067912260304,0.030000000000000002,0.2562999714015762,0.11636363636363636,0.24273874573958176,0.2968181818181819,0.2444466037449224,1.632272727272727,0.45657419245164954,2.3245454545454547,0.5835759160910722,2.7663636363636357,0.5141698763505581,3.066363636363636,0.46124294394990467,48752987466.2114,-0.1516101373427771,10798655053.3939,0.39654164334391295,82.23381292700279,0.1553726905064989,3.0,-0.12179879484222542,1.5,0.1695025072289827
27,2015-09,TX,HOUSTON,2015-09,3.14,"(-95.4660541, 29.6094471)",57139.38,Refinancing_Purchase of Apartments_Coops,0.1344409090909091,0.23919014091347585,0.15661363636363634,0.2414828518060684,0.20107727272727274,0.244128589299297,0.26589318181818195,0.24187992849331302,0.3311113636363637,0.2362279733970728,0.5371681818181817,0.2041037904241931,0.8526636363636364,0.1889067912260304,0.008571428571428572,0.2562999714015762,0.17952380952380947,0.24273874573958176,0.3733333333333333,0.2444466037449224,1.4900000000000002,0.45657419245164954,2.1728571428571435,0.5835759160910722,2.618095238095238,0.5141698763505581,2.9528571428571433,0.46124294394990467,48291644449.3811,-0.1516101373427771,11404853913.5663,0.39654164334391295,83.34061286074021,0.1553726905064989,3.3,-0.12179879484222542,1.5,0.1695025072289827
28,2015-11,TX,HOUSTON,2015-11,3.29,"(-95.49455999999999, 29.887508)",69530.74,Refinancing_Purchase of Apartments_Coops,0.13066666666666668,0.23919014091347585,0.1559214285714286,0.2414828518060684,0.20844761904761913,0.244128589299297,0.286702380952381,0.24187992849331302,0.3709714285714286,0.2362279733970728,0.6063738095238096,0.2041037904241931,0.9343738095238093,0.1889067912260304,0.07105263157894738,0.2562999714015762,0.32789473684210524,0.24273874573958176,0.47684210526315784,0.2444466037449224,1.6710526315789473,0.45657419245164954,2.2631578947368416,0.5835759160910722,2.6863157894736847,0.5141698763505581,3.03,0.46124294394990467,48927223434.2447,-0.1516101373427771,11362184412.0981,0.39654164334391295,81.7923503982947,0.1553726905064989,3.1,-0.12179879484222542,1.6,0.1695025072289827
29,2016-04,TX,HOUSTON,2016-04,3.95,"(-95.6262642, 29.743249600000006)",110161.29,Refinancing_Purchase of Apartments_Coops,0.38031428571428566,0.23919014091347585,0.39864523809523805,0.2414828518060684,0.4373976190476192,0.244128589299297,0.5229452380952381,0.24187992849331302,0.6327499999999999,0.2362279733970728,0.9025404761904764,0.2041037904241931,1.2222214285714286,0.1889067912260304,0.18761904761904763,0.2562999714015762,0.37238095238095237,0.24273874573958176,0.5557142857142858,0.2444466037449224,1.2580952380952382,0.45657419245164954,1.8052380952380953,0.5835759160910722,2.2104761904761907,0.5141698763505581,2.6233333333333335,0.46124294394990467,49692544708.3448,-0.1516101373427771,11412820253.2316,0.39654164334391295,82.3313446344394,0.1553726905064989,2.4,-0.12179879484222542,1.3,0.1695025072289827
30,2016-06,TX,HOUSTON,2016-06,3.14,"(-95.312754, 29.936462)",46256.72666666666,Refinancing_Purchase of Apartments_Coops,0.3904409090909091,0.23919014091347585,0.41572500000000007,0.2414828518060684,0.4527090909090909,0.244128589299297,0.5394386363636363,0.24187992849331302,0.6516204545454546,0.2362279733970728,0.9360386363636366,0.2041037904241931,1.2592227272727274,0.1889067912260304,0.22136363636363632,0.2562999714015762,0.40409090909090906,0.24273874573958176,0.5522727272727272,0.2444466037449224,1.1663636363636367,0.45657419245164954,1.6440909090909095,0.5835759160910722,2.019090909090909,0.5141698763505581,2.452272727272727,0.46124294394990467,50249654907.7038,-0.1516101373427771,11692339154.1207,0.39654164334391295,85.06205357591242,0.1553726905064989,2.7,-0.12179879484222542,1.3,0.1695025072289827
31,2016-09,TX,HOUSTON,2016-09,3.25,"(-95.320022, 29.766388)",69079.2,Refinancing_Purchase of Apartments_Coops,0.42159363636363634,0.23919014091347585,0.4495609090909092,0.2414828518060684,0.5270018181818182,0.244128589299297,0.6625254545454545,0.24187992849331302,0.8496804545454547,0.2362279733970728,1.2471445454545458,0.2041037904241931,1.5560313636363639,0.1889067912260304,0.1914285714285715,0.2562999714015762,0.4671428571428572,0.24273874573958176,0.5933333333333333,0.2444466037449224,1.178095238095238,0.45657419245164954,1.6304761904761906,0.5835759160910722,2.0152380952380957,0.5141698763505581,2.350476190476191,0.46124294394990467,51124149514.2735,-0.1516101373427771,12351593318.9066,0.39654164334391295,85.2359522201137,0.1553726905064989,3.3,-0.12179879484222542,1.6,0.1695025072289827
32,2016-10,TX,HOUSTON,2016-10,3.65,"(-95.367053, 29.702919)",86870.3,Refinancing_Purchase of Apartments_Coops,0.4307719047619048,0.23919014091347585,0.457582380952381,0.2414828518060684,0.5307795238095238,0.244128589299297,0.6609890476190475,0.24187992849331302,0.8786828571428573,0.2362279733970728,1.258856666666667,0.2041037904241931,1.577814761904762,0.1889067912260304,0.24400000000000005,0.2562999714015762,0.47700000000000004,0.24273874573958176,0.6595000000000001,0.2444466037449224,1.2719999999999998,0.45657419245164954,1.7645000000000004,0.5835759160910722,2.1705,0.5141698763505581,2.5004999999999997,0.46124294394990467,49588706606.1033,-0.1516101373427771,12722317795.1324,0.39654164334391295,85.1896726255448,0.1553726905064989,3.0,-0.12179879484222542,1.6,0.1695025072289827
